Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,53.21,53.86,53.83,58.23,61.03,63.15,69.15,72.22,73.26,66.72,61.91,67.2,72.46,74.88,77.06,82.47,73.71,79.71,78.74,78.64,78.45,77.6,75.83,72.97,68.18,62.19,64.5,63.55,63.18,68.12,74.24,71.75,76.25,81.33,85.33,90.71,97.24,103.45,102.3,86.04,77.42,95.55,98.77,96.05,106.32,97.63,108.92,100.53,116.85,115.98,110.74,122.13,119.31,123.66,119,125.41,,,
Angola,AGO,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,28.87,29.9,30.32,31.7,32.52,33.13,34.03,34.31,36.49,38.29,38.35,36.86,39.06,38.21,36.84,36.47,35.51,35.61,34.73,34.74,33.99,34.53,35.16,35.57,36.06,37.38,37.93,37.78,37.81,37.91,39.52,42.21,41.79,47.53,45.97,49,48.8,56.71,53.89,62.63,71.14,80.82,86.75,93.45,101.73,104.82,117.75,127.41,159.41,168.65,184.53,152.82,206.96,176.78,181.06,192.85,,,
Albania,ALB,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,30.15,30.98,29.05,33.44,31.39,35.31,37.09,38.03,39.23,40.37,42.46,43.26,46.66,47.65,47.85,52.78,55.52,57.65,58.86,57.75,59.63,62.05,67.56,62.82,62.09,61.52,64,61.88,69.2,68.73,58.65,63.53,71.32,79.08,85.44,86.52,81.76,84.3,82.14,86.31,89.39,89.85,95.22,99.87,97.92,102.21,103.82,108.06,112.42,118.43,124.65,133.04,134.39,141.72,145.71,150.93,,,
Andorra,AND,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,22.9182964,25.30260173,26.15425449,26.35092862,27.49147462,25.65236811,27.2704059,29.46592199,28.95879284,29.30105281,32.03678552,32.28878346,31.19291199,34.09880705,35.29756837,35.96869949,35.2621746,37.27528374,38.01705405,41.08472032,41.37190592,43.1582231,43.87340796,44.03805001,49.2316942,51.82057693,51.56545817,55.05562533,55.23100498,59.25073101,62.20633956,63.83611008,64.63783165,67.1575437,68.09961137,78.3922747,74.94746571,80.76654141,81.44238339,83.36197767,83.66008135,90.02520561,95.20255613,97.57010175,100.5104974,106.6194944,103.5739023,106.8410057,111.3986489,110.8494409,115.629377,111.1085643,113.546338,111.7540266,,,,,
United Arab Emirates,ARE,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,4.07,4.13,4.26,4.41,4.51,4.64,4.79,4.99,5.29,5.68,6.02,5.84,6.68,7.81,7.61,7.03,8.42,10.96,12.33,14.13,15.41,19.08,22.12,21.14,21.27,20.6,19.9,24.67,29.03,30.49,37.94,47.59,51.2,55.17,65.9,72.74,89.92,94.43,144.31,174,105.01,102.55,92.07,102.29,105.26,92.45,92.47,103.07,101.17,110.01,64.26,64.57,66.66,83.01,98.59,102.28,,,
Argentina,ARG,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,37,39.59,43.43,40.26,38.28,42.07,46.34,43.45,47.2,46.07,42.96,42.89,44.44,47.81,48.85,54.06,53.9,58,58.85,54.22,58.61,59.66,58.08,59.82,60.75,62.36,59.25,61.01,56.16,63.01,65.3,65.31,64.75,68.92,73.95,71.66,77.2,83.42,85.68,85.91,87.07,86.56,90.49,92.2,104.41,103.39,113.93,115.12,96.74,112.66,117.48,108.03,118.14,121.22,129.02,129.11,,,
Armenia,ARM,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.77,52.26,65.38,59.37,64.84,54.71,60.29,62.22,64.67,63.68,65.79,70.11,79.05,108.46,112.49,116.65,121.69,125.96,102.85,119.34,135.35,141.2,141.72,150.35,135.37,,,
American Samoa,ASM,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,75.01,75.77,84.79,87.1,90.27,91.88,86.07,84.28,88.87,86.08,78.01,76.73,75.47,73.11,71.89,70.39,69.23,64.93,57.89,64.85,61.43,61.28,59.96,57.87,56.68,57.78,48.83,51.39,51.69,56.5,51.86,54.64,60.11,63.65,66.62,70.94,74.02,90.05,73.43,80.92,90.36,94.39,101.02,97.6,97.7,104.69,108.88,109.74,113.47,114.51,114.3,110.24,117.57,116.62,120.15,120.97,,,
